image_path,class_name,class_index,split
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0024654.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0033811.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030463.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030877.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029830.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029915.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030036.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030491.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030655.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0030825.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029500.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Actinic Keratosis\ISIC_0029930.jpg,Actinic keratosis,0,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_206.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\624.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\563.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\590.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_339.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_359.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\611.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_394.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_389.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_242.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_226.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_411.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_155.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_211.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\596.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\633.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_341.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\604.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\559.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\623.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\647.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_203.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_272.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\629.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_403.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_330.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\508.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_175.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\548.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_239.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\610.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_173.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_283.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_294.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\599.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_177.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_202.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_252.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\570.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_321.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_164.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_284.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\583.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_260.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_374.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\621.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_271.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\537.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_193.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_255.jpg,Basal Cell Carcinoma,1,val
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_322.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_410.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_241.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_382.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_189.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\582.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_290.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_149.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\572.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_342.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_323.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\552.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_244.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\637.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\518.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_363.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_253.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_416.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_304.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\616.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_168.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_338.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_277.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_301.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\648.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\593.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\613.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_329.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\551.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\643.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\529.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_208.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_172.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\638.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_372.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_247.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_383.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_417.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_248.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_289.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\619.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\515.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_370.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_264.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_311.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_328.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\569.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_366.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_199.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\618.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\519.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_184.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\586.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_368.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\512.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\520.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_324.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\626.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_186.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\517.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\645.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\576.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_399.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_392.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_169.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_178.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_196.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_287.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_152.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_219.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\545.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_258.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_332.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_291.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\557.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\615.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_213.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_182.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\536.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\521.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_386.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\628.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_216.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\612.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\634.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_228.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_320.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\564.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\627.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_263.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\579.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_381.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_349.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_214.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_215.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_299.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_408.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\577.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_153.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_377.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\603.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\516.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_229.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_190.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\523.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\526.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\506.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_319.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_345.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\575.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_302.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_400.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\510.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\606.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_356.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\574.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_406.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\544.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\639.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_154.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_325.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_254.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_361.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_204.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\625.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\598.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_385.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_415.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_251.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\571.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_344.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_314.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_249.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_269.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\556.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_165.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\646.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_200.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_379.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_312.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_373.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\525.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\649.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_225.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\531.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\530.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_170.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_250.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\522.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\578.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_316.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\614.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_396.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\509.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_369.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\601.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_180.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_275.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_306.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_240.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_365.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\555.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_267.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\617.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\553.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\567.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_183.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_265.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_194.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_256.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\595.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_191.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\540.jpg,Basal Cell Carcinoma,1,train
D:\NCKH_V2\Data\train\Basal Cell Carcinoma\img_151.jpg,Basal Cell Carcinoma,1,train
